image,r,seed,wmax,n_cand,tpr,fpr,it,t_amf,t_solve,psnr,snr,mae,psnr_n,converged,gap,psnr_noisy,psnr_med3,psnr_med7,psnr_amf,snr_amf
lena_gray_512.tif,0.3,42,7,78651,0.9999872857651426,0.0,83,1.183288200001698,2.6785048999881838,38.362894627470936,32.706400620175245,1.0523898952768622,33.16650611607456,True,0.009907637757208931,10.669393629643531,23.95875773400068,28.20500050120692,33.91001872547531,28.253524718179616
lena_gray_512.tif,0.5,2026,9,130901,1.0,0.0,100,1.3910568999999668,5.804484299995238,34.734146496661786,29.077652489366095,1.971083389967251,31.718176920102927,True,0.008821737230263693,8.458982367406211,15.391377185103984,26.84538614500815,30.323326898556317,24.666832891260626
lena_gray_512.tif,0.5,7,9,131013,1.0,0.0,95,1.4289066000201274,5.484695799998008,34.74046987333276,29.083975866037072,1.9783659850965574,31.728214568247594,True,0.009308464988833975,8.448242515990504,15.366622116708113,26.998664166892343,30.339788725323054,24.683294718027362
lena_gray_512.tif,0.5,42,9,131309,1.0,0.0,87,1.389577800000552,4.981043700012378,34.65580521006563,28.99931120276994,1.9953637500018087,31.653350929766994,True,0.004744815343315167,8.441189550080011,15.295202900944421,26.68960469658628,30.191251309943215,24.534757302647524
livingroom.tif,0.3,2026,7,78773,0.9999872750871657,0.0010241994356007366,93,1.2000428999890573,3.0858227999997325,34.90846663169971,28.975052322686714,1.6104352873214367,29.68684126723627,True,0.005679678891340245,10.755093275620261,23.014904116943722,24.4639482629869,30.129557162695498,24.196142853682506
livingroom.tif,0.3,7,7,78280,1.0,0.0009780269935450218,90,0.7783846000093035,3.0417405999905895,34.767096985586804,28.833682676573808,1.616360954032554,29.51820593592982,True,0.00105176209910951,10.757994179464065,22.942829815107807,24.426974184612014,29.968148054131454,24.03473374511846
livingroom.tif,0.3,42,7,78828,0.9999872857651426,0.0009646197109410764,80,1.1852857999911066,2.620933700003661,34.91759954017472,28.984185231161725,1.6131981697827278,29.713223589198634,True,0.0050164787922986065,10.74109980385628,22.952391913169855,24.407036057757665,30.011222378496946,24.07780806948395
livingroom.tif,0.5,2026,9,131035,0.9999923606389561,0.001028626288640156,79,2.0345904999994673,4.530951599997934,31.203353432335085,25.269939123322093,3.123187002391106,28.191843813267894,True,0.009649093773262507,8.531179978371703,15.274357103880972,23.65808250995045,26.98524346482952,21.051829155816527
livingroom.tif,0.5,7,9,131135,0.9999771015090105,0.0009532452280543883,80,2.0307267000025604,4.59096029997454,31.04814982158257,25.114735512569574,3.1590551504838738,28.03995140252382,True,0.0030748878042174965,8.518694827175695,15.237800663380925,23.652594389676782,26.94033364462117,21.006919335608178
livingroom.tif,0.5,42,9,131441,1.0,0.0010089043451675774,99,1.4601579000009224,5.703057100006845,31.251649312152505,25.31823500313951,3.1304000599986352,28.25355863805246,True,0.009160713441730195,8.51756927235572,15.240274039323314,23.612693330894274,26.937497174591215,21.004082865578223
